"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Metric","Data_type","Value"
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"Africa_Fragile_ODA","Current Prices",37021.09
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"Africa_ODA","Current Prices",50094.95
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"Africa_ODA_Bilateral","Current Prices",35499.12
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"Bilat_ODA_Ex_Debt_Relief","Current Prices",81340.58
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"Fragile_State_ODA","Current Prices",60692.99
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"Fragile_State_ODA_Bilateral","Current Prices",44524.77
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"GNI","Current Prices",0
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"IA_Bilateral_ODA","Current Prices",90374.58
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"IA6_Debt_Relief","Current Prices",9034
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"IA82_In_Donor_Refugee_Cost","Current Prices",1956.33
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"IB_Multilateral_ODA","Current Prices",31793.44
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"LDC_ODA","Current Prices",45143.86
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"LDC_ODA_Bilateral","Current Prices",32297.79
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"LDC_ODA_Imputed_Multilateral","Current Prices",12846.07
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"SSA_ODA","Current Prices",44157.52
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"SSA_ODA_Bilateral","Current Prices",31022.56
"All Donors, Total","Group","Group","Group","2018-01-02",2007,"Total_ODA_ONE","Current Prices",113134.02
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"Africa_Fragile_ODA","Current Prices",43357.34
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"Africa_ODA","Current Prices",59797.29
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"Africa_ODA_Bilateral","Current Prices",42940.09
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"Bilat_ODA_Ex_Debt_Relief","Current Prices",99037.44
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"Fragile_State_ODA","Current Prices",68249.68
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"Fragile_State_ODA_Bilateral","Current Prices",50246.24
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"GNI","Current Prices",0
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"IA_Bilateral_ODA","Current Prices",108017.33
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"IA6_Debt_Relief","Current Prices",8979.89
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"IA82_In_Donor_Refugee_Cost","Current Prices",2626.68
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"IB_Multilateral_ODA","Current Prices",36404.4
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"LDC_ODA","Current Prices",52715.8
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"LDC_ODA_Bilateral","Current Prices",37958.95
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"LDC_ODA_Imputed_Multilateral","Current Prices",14756.85
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"SSA_ODA","Current Prices",53069.86
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"SSA_ODA_Bilateral","Current Prices",37665.1
"All Donors, Total","Group","Group","Group","2018-01-02",2008,"Total_ODA_ONE","Current Prices",135441.84
"All Donors, Total","Group","Group","Group","2018-01-02",2009,"Africa_Fragile_ODA","Current Prices",43975.66
"All Donors, Total","Group","Group","Group","2018-01-02",2009,"Africa_ODA","Current Prices",61708.1
"All Donors, Total","Group","Group","Group","2018-01-02",2009,"Africa_ODA_Bilateral","Current Prices",45159.39
"All Donors, Total","Group","Group","Group","2018-01-02",2009,"Bilat_ODA_Ex_Debt_Relief","Current Prices",100779.58
"All Donors, Total","Group","Group","Group","2018-01-02",2009,"Fragile_State_ODA","Current Prices",70534.25
